C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/06/07,02:10:00,0000000295553529,
D,TRADING,PRICE,2,"2018/05/01 18:00:00",1,SA1,36,179.77
D,TRADING,PRICE,2,"2018/05/01 18:00:00",1,TAS1,36,101.73
D,TRADING,PRICE,2,"2018/05/01 18:00:00",1,VIC1,36,117.41
D,TRADING,PRICE,2,"2018/05/01 18:30:00",1,NSW1,37,98.26
D,TRADING,PRICE,2,"2018/05/01 18:30:00",1,QLD1,37,92.01
D,TRADING,PRICE,2,"2018/05/01 18:30:00",1,SA1,37,140.16
D,TRADING,PRICE,2,"2018/05/01 18:30:00",1,TAS1,37,104.08
D,TRADING,PRICE,2,"2018/05/01 18:30:00",1,VIC1,37,108.51
D,TRADING,PRICE,2,"2018/05/01 19:00:00",1,NSW1,38,91.01
D,TRADING,PRICE,2,"2018/05/01 19:00:00",1,QLD1,38,86.66
D,TRADING,PRICE,2,"2018/05/01 19:00:00",1,SA1,38,122.68
D,TRADING,PRICE,2,"2018/05/01 19:00:00",1,TAS1,38,73.71
D,TRADING,PRICE,2,"2018/05/01 19:00:00",1,VIC1,38,100.36
D,TRADING,PRICE,2,"2018/05/01 19:30:00",1,NSW1,39,77.98
D,TRADING,PRICE,2,"2018/05/01 19:30:00",1,QLD1,39,76.17
D,TRADING,PRICE,2,"2018/05/01 19:30:00",1,SA1,39,101.57
D,TRADING,PRICE,2,"2018/05/01 19:30:00",1,TAS1,39,74.03
D,TRADING,PRICE,2,"2018/05/01 19:30:00",1,VIC1,39,83.33
D,TRADING,PRICE,2,"2018/05/01 20:00:00",1,NSW1,40,77.16
D,TRADING,PRICE,2,"2018/05/01 20:00:00",1,QLD1,40,75.89
D,TRADING,PRICE,2,"2018/05/01 20:00:00",1,SA1,40,96.65
D,TRADING,PRICE,2,"2018/05/01 20:00:00",1,TAS1,40,78.63
D,TRADING,PRICE,2,"2018/05/01 20:00:00",1,VIC1,40,81.42
D,TRADING,PRICE,2,"2018/05/01 20:30:00",1,NSW1,41,73.53
D,TRADING,PRICE,2,"2018/05/01 20:30:00",1,QLD1,41,71.3
D,TRADING,PRICE,2,"2018/05/01 20:30:00",1,SA1,41,91.46
