"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.08.06","X16.05.11","X0000000428653915","X","X0000000428653863"
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","SHOAL1","42.674999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","WAUBRAWF","34.433998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","WOOLNTH1","1.55",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","YAMBUKWF","1.40",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","YSWF1","0.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","BARCSF1","4.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","BUTLERSG","7.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","BWTR1","4.687120",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","CAPTL_WF","15.990479",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","CHALLHWF","1.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","CLOVER","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","CLUNY","9.172351",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","CONDONG1","19.889999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","CULLRGWF","3.87",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","DIAPURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","GB01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","GERMCRK","18.2470",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","GRIFSF1","12.999161",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","HUGSF1","6.657001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","LRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","MBAHNTH","36.074997",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","MLSP1","9.9840",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","MLWF1","0.42",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","PALOONA","12.75",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","PIONEER","-2",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","PORTWF","10.20",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","REPULSE","14.947127",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:20:00","ROWALLAN","-0.004929",NA,NA,NA
