"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.09.08","X20.25.36","X001725791136689","MONTHLY_ARCHIVE","X001725791136689.1"
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HUMEV","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HVWWBA1G","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HVWWBA1L","0.07",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HVWWPV1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JBUTTERS","10.35035",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JEMALNG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JLA01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JLA02","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JLA03","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JLA04","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JLB01","0.1",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JLB02","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JLB03","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","JUNEESF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KABANWF1","63.184",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KAREEYA1","21.66",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KAREEYA2","21.6425",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KAREEYA3","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KAREEYA4","21.5775",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KARSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KEPSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KEPWF1","39.06",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KIAMSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KIATAWF1","5.6",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KPP_1","702.4494",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","KSP1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LADBROK1","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LADBROK2","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LBBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LBBL1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LEM_WIL","27.70039",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LGAPWF1","30.73",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LGAPWF2","22.17",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LILYSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LIMOSF11","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LIMOSF21","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LI_WY_CA","150.5668",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LKBONNY1","12.41401",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LKBONNY2","19.59766",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LKBONNY3","5.52639",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LK_ECHO","24.77349",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LNGS1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LNGS2","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LONSDALE","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LOYYB1","584.25",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LOYYB2","589.125",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LRSF1","0.028",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LYA1","561",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LYA2","529",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LYA3","560",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","LYA4","558",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","MACARTH1","54.5",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","MACKNTSH","76.68001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","MANNSF2","0",NA,NA,NA
