C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/10/08,10:26:31,001728347191867,MONTHLY_ARCHIVE
D,TRADING,PRICE,3,"2024/09/01 05:00:00",1,NSW1,60,35.88
D,TRADING,PRICE,3,"2024/09/01 05:00:00",1,QLD1,60,46.63
D,TRADING,PRICE,3,"2024/09/01 05:00:00",1,SA1,60,-49.01
D,TRADING,PRICE,3,"2024/09/01 05:00:00",1,TAS1,60,-50
D,TRADING,PRICE,3,"2024/09/01 05:00:00",1,VIC1,60,-50.03
D,TRADING,PRICE,3,"2024/09/01 05:05:00",1,NSW1,61,35.88
D,TRADING,PRICE,3,"2024/09/01 05:05:00",1,QLD1,61,46.63
D,TRADING,PRICE,3,"2024/09/01 05:05:00",1,SA1,61,-48.85
D,TRADING,PRICE,3,"2024/09/01 05:05:00",1,TAS1,61,-50
D,TRADING,PRICE,3,"2024/09/01 05:05:00",1,VIC1,61,-50.03
D,TRADING,PRICE,3,"2024/09/01 05:10:00",1,NSW1,62,36.59
D,TRADING,PRICE,3,"2024/09/01 05:10:00",1,QLD1,62,46.63
D,TRADING,PRICE,3,"2024/09/01 05:10:00",1,SA1,62,-48.79
D,TRADING,PRICE,3,"2024/09/01 05:10:00",1,TAS1,62,-50
D,TRADING,PRICE,3,"2024/09/01 05:10:00",1,VIC1,62,-50.03
D,TRADING,PRICE,3,"2024/09/01 05:15:00",1,NSW1,63,36.59
D,TRADING,PRICE,3,"2024/09/01 05:15:00",1,QLD1,63,46.63
D,TRADING,PRICE,3,"2024/09/01 05:15:00",1,SA1,63,-48.84
D,TRADING,PRICE,3,"2024/09/01 05:15:00",1,TAS1,63,1.22
D,TRADING,PRICE,3,"2024/09/01 05:15:00",1,VIC1,63,-50.03
D,TRADING,PRICE,3,"2024/09/01 05:20:00",1,NSW1,64,56.98
D,TRADING,PRICE,3,"2024/09/01 05:20:00",1,QLD1,64,56.93
D,TRADING,PRICE,3,"2024/09/01 05:20:00",1,SA1,64,-46.82
D,TRADING,PRICE,3,"2024/09/01 05:20:00",1,TAS1,64,1.29
D,TRADING,PRICE,3,"2024/09/01 05:20:00",1,VIC1,64,-48.03
D,TRADING,PRICE,3,"2024/09/01 05:25:00",1,NSW1,65,56.98
D,TRADING,PRICE,3,"2024/09/01 05:25:00",1,QLD1,65,77.75
D,TRADING,PRICE,3,"2024/09/01 05:25:00",1,SA1,65,-46.77
D,TRADING,PRICE,3,"2024/09/01 05:25:00",1,TAS1,65,4.24
D,TRADING,PRICE,3,"2024/09/01 05:25:00",1,VIC1,65,-48.51
D,TRADING,PRICE,3,"2024/09/01 05:30:00",1,NSW1,66,35.88
D,TRADING,PRICE,3,"2024/09/01 05:30:00",1,QLD1,66,55.75
D,TRADING,PRICE,3,"2024/09/01 05:30:00",1,SA1,66,-46.77
D,TRADING,PRICE,3,"2024/09/01 05:30:00",1,TAS1,66,2.96
D,TRADING,PRICE,3,"2024/09/01 05:30:00",1,VIC1,66,-48.55
D,TRADING,PRICE,3,"2024/09/01 05:35:00",1,SA1,67,-46.77
D,TRADING,PRICE,3,"2024/09/01 05:35:00",1,VIC1,67,-48.16
